Study ID,modality,objective,N,n_female,single_center / multi_center,lesions,AI_model,other grouping,training_N_image,training_True_positives,training_False_Negatives,training_False_positives,training_True_negatives,training_positive_predictive_value,training_negative_predictive_value,training_sensetivity,training_specificity,training_prevalence_of_lesion_in_training_dataset,training_F1_score,training_Accuracy,training_ROC-AUC, test_N_image ,test_True_positives,test_False_Negatives,test_False_positives,test_True_negatives,test_positive_predictive_value,test_negative_predictive_value,test_sensetivity,test_specificity,test_prevalence_of_lesion_in_training_dataset,test_F1_score,test_Accuracy,test_ROC-AUC,validation_N_image,validation_True_positives,validation_False_Negatives,validation_False_positives,validation_True_negatives,validation_positive_predictive_value,validation_negative_predictive_value,validation_sensetivity,validation_specificity,validation_prevalence_of_lesion_in_training_dataset,validation_F1_score,validation_Accuracy,validation_ROC-AUC
Alaiti,MRI, nonachievement of clinically significant disability improvement 2 years after rotator cuff surgical repair,474,270,single,rotator cuff tears,"random forest classifier, 
light gradient boosting machine (LightGBM), 
decision tree classifier, 
extra trees classifier, 
logistic regression, 
extreme gradient boosting (XGBoost), 
k-nearest neighbors (KNN) classifier, and 
CatBoost classifier",,332,,,,,,,,,,,,,142,,,,,"Random forest classifier: 0.35
LightGBM: 0.24
Decision tree classifier: 0.19
Extra trees classifier: 0.26
Logistic regression: 0.26
XGBoost: 0.20
KNN classifier: 0.30
CatBoost classifier: 0.20",,"
Random forest classifier: 0.41
LightGBM: 0.45
Decision tree classifier: 0.17
Extra trees classifier: 0.37
Logistic regression: 0.62
XGBoost: 0.50
KNN classifier: 0.25
CatBoost classifier: 0.54",,,"Random forest classifier: 0.38
LightGBM: 0.34
Decision tree classifier: 0.18
Extra trees classifier: 0.31
Logistic regression: 0.37
XGBoost: 0.29
KNN classifier: 0.27
CatBoost classifier: 0.29","Random forest classifier: 0.78
LightGBM: 0.68
Decision tree classifier: 0.75
Extra trees classifier: 0.73
Logistic regression: 0.66
XGBoost: 0.60
KNN classifier: 0.79
CatBoost classifier: 0.58","Random forest classifier: 0.68
LightGBM: 0.67
Decision tree classifier: 0.62
Extra trees classifier: 0.60
Logistic regression: 0.59
XGBoost: 0.60
KNN classifier: 0.58
CatBoost classifier: 0.59",,,,,,,,,,,,,
Allaart,,,> 1000,-,multi,all types of rotator cuff tears,"(1) Bayes Point Machine, 
(2) Boosted Decision Tree, 
(3) Penalised Logistical Regression, 
(4) Neural Network and 
(5) Support Vector Machine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benhenneda,arthroscopy,diagnosis of pathology,199,104,multi,state of the long head of the biceps (LHB) tendon in the context of small distal rotator cuff tears,"Model 1: A convolutional neural network (CNN) based on the Inception V3 model, used to analyze arthroscopic images.
Model 2: A MultiLayer Perceptron (MLP) model, built to process medical data (clinical and paraclinical data).
Model 3: A combination of the CNN from Model 1 and the MLP from Model 2, integrating both image and medical data",,522,,,,,,,,,,,0.94,,58,,,,,,,,,,,"Model 1 (CNN): 80.66%
Model 2 (MLP): 75%
Model 3 (CNN+MLP): 58%",,,,,,,,,,,,,,
Cho,,rotator cuff re-tear after artroplasty based on images,580,371,single,"rotator cuff tears, specifically focusing on the supraspinatus tendon. The study also differentiated between full-thickness and partial-thickness tears","VGG16, 
DenseNet, and 
Xception",,1115,,,,,,,,,0.22,,,,179,,,,,,,"VGG16: 0.80
DenseNet: 0.84
Xception: 0.84","VGG16: 0.70
DenseNet: 0.93
Xception: 0.89",0.22,"VGG16: 0.78
DenseNet: 0.91
Xception: 0.88","VGG16: 0.76
DenseNet: 0.91
Xception: 0.87","VGG16: 0.83
DenseNet: 0.92
Xception: 0.91",,,,,,,,,,,,,
Conze,,segmentation study,12,-,single,"Deltoid
Infraspinatus
Supraspinatus
Subscapularis","Standard U-Net, Extended U-Net (v16U-Net), Pre-trained Extended U-Net (v16pU-Net)",,,,,,,,,,,,,,,,,,,,,,"Deltoid: 78.92±25.4,81.45±23.7,83.80±21.3
Infraspinatus: 84.61±18.2,83.74±18.6,83.48±19.0
Supraspinatus: 65.55±34.5,67.21±33.0,68.60±32.3
Subscapularis: 82.53±18.1,81.75±18.8,84.36±16.5","Deltoid: 99.85±0.19,99.82±0.22,99.84±0.22
Infraspinatus: 99.84±0.18, 99.86±0.17, 99.86±0.18
Supraspinatus: 99.88±0.15, 99.86±0.17, 99.91±0.12
Subscapularis: 99.87±0.13, 99.88±0.12, 99.86±0.15",,,,,,,,,,,,,,,,,
Daher,,,29,14,single,"Rotator cuff tendinopathies, Glenohumeral arthritis, Proximal humeral fractures, Adhesive capsulitis, Acromioclavicular joint trauma/osteoarthritis, Mild inflammation in an intact shoulde",ChatGPT,,,,,,,,,,,,,,,,,,,,,,,,,,"diagnosis in 93% (27/29)
management in 83% (24/29)",,,,,,,,,,,,,,
Esfandiari,MRI,,150,-,single,rotator cuff tears,Five different configurations of CNN,,,,,,,,,,,,,,,150,69,6,6,69,0.91,,0.92,0.92,0.5,,0.93,,,,,,,,,,,,,,
Feuerriegel,,,38,14,single,"Bone pathologies, such as fractures (including Bankart lesions and humerus fractures), bone marrow edema, subchondral cysts, and Hill-Sachs defects. Rotator cuff pathologies, including tendinopathy, partial tears, and complete tears. Rotator cuff muscle pathologies, including fatty infiltration and acute injury. Biceps pathologies, such as tendinopathy and pulley lesions. Cartilage abnormalities. Bursa inflammation. AC joint osteoarthritis. Joint effusion. Labrum lesions and anatomical variants",This algorithm is based on an adaptive-CS-network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guo,MRI,,770,361,single,supraspinatus tears (STs,2D CNN,,,,,,,,,,,,,,,143,,,,,0.72,,0.78,0.84,0.35,0.75,0.82,0.88,69,,,,,0.75,,0.91,0.85,0.33,0.82,0.87,0.92
Guo,MRI,,770,361,single,supraspinatus tears (STs,3D CNN,,,,,,,,,,,,,,,143,,,,,0.68,,0.72,0.82,0.35,0.7,0.78,0.81,69,,,,,0.54,,0.74,0.37,0.33,0.62,0.71,0.78
